id_siswa,durasi_klik,waktu_modul,ulang_video,skor_kuis,login_frekuensi,label_churn_kmeans
S-0099,356783.61,12.96,0.0,69.16,1,1
S-0100,1682.41,44.59,2.0,87.19,4,2
S-0101,2507.54,75.06,6.0,40.43,4,0
S-0102,2301.94,83.5,0.0,74.06,7,2
S-0103,221.8,17.21,0.0,53.68,2,1
S-0105,2385.39,85.61,0.0,50.99,5,2
S-0106,230.31,16.4,1.0,42.95,1,1
S-0107,1838.66,76.96,6.0,82.99,5,0
S-0108,457.48,20.08,0.0,41.59,2,1
S-0109,377.5,13.02,0.0,28.89,0,1
S-0110,2151.62,86.72,7.0,63.84,6,0
S-0111,1193.32,50.42,0.0,82.8,3,2
S-0112,1628.08,30.0,1.0,100.0,3,2
S-0113,132.72,14.17,1.0,64.51,2,1
S-0114,461067.44,16.92,0.0,30.18,1,1
S-0115,2039.5,103.46,3.0,46.27,5,0
S-0116,225987.97,14.73,1.0,50.68,1,1
S-0118,289.48,14.02,0.0,36.39,1,1
S-0119,2086745.24,92.89,5.0,74.34,3,0
S-0120,1419.73,35.22,4.0,86.55,5,2
S-0121,177.72,17.67,0.0,34.28,2,1
S-0122,1388.24,55.57,2.0,80.88,4,2
S-0123,1253.11,30.0,1.0,94.54,3,2
S-0124,2472579.3,58.59,7.0,77.2,6,0
S-0125,1126.85,39.24,0.0,89.42,5,2
S-0126,332563.68,15.35,0.0,38.81,0,1
S-0127,309.19,10.09,1.0,26.5,1,1
S-0128,1573.33,51.65,1.0,83.81,3,2
S-0129,532.47,50.66,4.0,87.43,2,2
S-0130,356.79,12.05,1.0,23.44,0,1
S-0131,1196.26,37.75,1.0,92.42,4,2
S-0132,409.3,15.14,1.0,45.14,3,1
S-0133,1293137.33,39.0,2.0,95.64,5,2
S-0134,2760.79,66.92,8.0,81.01,6,0
S-0135,1269.68,37.72,1.0,96.22,4,2
S-0136,319.2,15.94,1.0,23.13,1,1
S-0137,2035.21,58.26,0.0,88.72,4,2
S-0138,796770.62,57.59,0.0,78.72,5,2
S-0139,1373.55,57.47,1.0,100.0,5,2
S-0140,3424.7,74.39,5.0,79.74,5,0
S-0141,2125.29,123.25,10.0,77.45,4,0
S-0142,234.53,17.8,0.0,35.78,0,1
S-0143,251.28,14.58,1.0,68.27,2,1
S-0144,1426.06,40.8,1.0,83.0,5,2
S-0145,2719.58,65.7,7.0,76.41,4,0
S-0146,1185.38,36.54,1.0,93.74,4,2
S-0147,3246462.71,111.59,6.0,64.97,5,0
S-0148,2411.44,86.32,8.0,62.69,6,0
S-0149,1371101.57,51.05,0.0,99.95,5,2
S-0150,1250.91,43.22,2.0,100.0,4,2
S-0151,296.99,12.12,0.0,52.47,0,1
S-0152,306.98,12.04,0.0,49.81,0,1
S-0153,2296.26,83.26,6.0,71.08,4,0
S-0154,111.16,19.22,0.0,31.48,1,1
S-0155,289.3,19.99,1.0,42.08,1,1
S-0156,1576399.51,34.13,2.0,89.34,5,2
S-0157,1944.05,85.42,0.0,58.54,5,2
S-0158,1543.82,88.61,6.0,71.15,4,0
S-0159,2839.83,71.47,4.0,47.05,5,0
S-0160,1308.82,67.25,1.0,96.95,3,2
S-0161,244.33,14.13,1.0,45.39,3,1
S-0162,2221.09,101.5,7.0,42.13,6,0
S-0163,2384.01,82.1,4.0,72.54,6,0
S-0164,258.32,20.21,1.0,44.08,1,1
S-0165,366.12,21.43,1.0,27.98,0,1
S-0166,2730.39,109.49,0.0,65.05,4,2
S-0167,2504.09,105.93,3.0,51.24,5,0
S-0168,2627.5,77.69,3.0,85.9,6,0
S-0169,2652.41,95.36,5.0,64.27,3,0
S-0171,153.71,5.0,1.0,34.84,1,1
S-0172,1171.16,64.33,1.0,98.79,2,2
S-0174,2350.4,81.11,5.0,66.57,5,0
S-0175,3188.83,86.19,10.0,71.73,5,0
S-0176,1581.23,43.15,2.0,100.0,4,2
S-0177,2122.47,78.63,5.0,40.91,5,0
S-0178,276.21,12.36,0.0,18.67,0,1
S-0179,2382.5,85.32,4.0,73.88,5,0
S-0180,2701.13,111.93,6.0,34.52,6,0
S-0181,1681.63,30.0,2.0,81.72,5,2
S-0182,1967718.74,127.63,5.0,70.26,4,0
S-0183,375.74,25.67,1.0,41.61,1,1
S-0184,3489.43,113.92,3.0,72.71,5,0
S-0185,2343.43,109.94,7.0,44.99,5,0
S-0186,2712.66,71.27,5.0,50.54,3,0
S-0187,2826.73,127.26,7.0,86.61,6,0
S-0188,1075.7,35.65,0.0,89.05,3,2
S-0189,3268026.82,61.17,7.0,45.55,4,0
S-0190,1160.45,33.41,1.0,95.5,3,2
S-0191,284.04,22.8,0.0,21.66,0,1
S-0192,2089.65,68.19,6.0,71.09,5,0
S-0193,303234.94,10.42,0.0,63.88,2,1
S-0194,2429.13,112.14,5.0,78.04,5,0
S-0195,329886.32,11.42,1.0,42.96,2,1
S-0196,1236752.6,35.5,1.0,77.22,3,2
S-0198,2816.51,131.03,9.0,52.11,4,0
S-0199,1336.74,65.76,0.0,94.84,4,2
S-0200,2813.98,91.23,4.0,60.2,5,0
S-0201,1404.23,35.07,1.0,73.41,5,2
S-0202,2756.97,116.56,7.0,60.33,5,0
S-0203,678.36,30.0,1.0,89.19,2,2
S-0204,286.86,22.77,1.0,34.25,1,1
S-0205,2506.15,112.99,6.0,79.44,5,0
S-0206,168.09,5.0,0.0,50.06,1,1
S-0207,2328.12,50.07,0.0,40.34,5,2
S-0208,2706.41,103.65,4.0,55.7,4,0
S-0209,1000.0,102.4,5.0,67.93,4,0
S-0210,1425.92,45.01,3.0,94.09,4,2
S-0211,2327.89,103.33,7.0,67.26,7,0
S-0212,220.95,13.69,0.0,39.51,2,1
S-0213,2322.36,91.57,4.0,36.78,4,0
S-0214,2023.6,94.74,5.0,73.19,6,0
S-0215,1754002.48,35.45,2.0,100.0,5,2
S-0216,2907.49,120.27,7.0,74.92,3,0
S-0217,199.33,24.74,0.0,55.21,1,1
S-0219,1080.73,43.16,0.0,85.36,5,2
S-0220,1238.51,58.28,1.0,86.19,7,2
S-0222,2291922.27,102.46,8.0,70.09,5,0
S-0223,1657.28,35.74,1.0,84.34,3,2
S-0224,370.75,15.76,1.0,37.98,2,1
S-0225,2379.6,50.18,5.0,75.58,5,0
S-0226,984.39,46.73,2.0,79.59,5,2
S-0227,2688.03,68.52,8.0,79.57,4,0
S-0228,2490.33,95.11,0.0,59.1,4,2
S-0229,1482059.52,39.22,0.0,87.98,3,2
S-0230,262640.43,19.11,0.0,45.74,0,1
S-0231,196.0,14.7,1.0,62.3,2,1
S-0232,2503.07,73.23,3.0,40.17,5,0
S-0233,2931.15,83.65,3.0,83.38,6,0
S-0234,270.04,14.46,0.0,43.45,1,1
S-0235,3319.26,67.01,5.0,48.29,4,0
S-0236,1226.85,53.5,2.0,91.13,3,2
S-0237,266101.82,9.57,0.0,43.81,0,1
S-0238,3159.24,72.18,4.0,52.45,4,0
S-0239,153.03,22.24,0.0,50.39,2,1
S-0240,329.42,19.21,1.0,55.97,1,1
S-0241,1932918.97,89.58,7.0,70.41,4,0
S-0242,2229.92,45.56,5.0,67.87,6,0
S-0243,1545.11,57.67,1.0,87.54,3,2
S-0244,295.52,12.59,0.0,25.07,0,1
S-0245,419.58,13.35,1.0,33.7,1,1
S-0246,1211.16,31.47,1.0,83.56,2,2
S-0247,2945.61,89.78,3.0,67.29,3,0
S-0248,325.69,15.33,2.0,55.28,0,1
S-0249,2319.19,87.36,3.0,65.99,6,0
S-0250,2311.9,92.82,0.0,81.82,6,2
S-0251,367.93,12.15,1.0,41.73,2,1
S-0252,228.39,19.93,0.0,66.63,1,1
S-0253,459.6,13.42,1.0,48.09,0,1
S-0255,828679.74,46.42,0.0,78.41,4,2
S-0256,948497.55,42.06,1.0,84.75,6,2
S-0257,313.63,16.54,0.0,75.17,0,1
S-0258,2844798.93,126.33,4.0,85.63,4,0
S-0259,1695.88,106.42,6.0,90.63,5,0
S-0260,1629.86,51.87,1.0,94.0,5,2
S-0261,2618.32,75.87,6.0,80.98,4,0
S-0262,356.18,10.47,1.0,55.33,0,1
S-0263,3409927.16,131.11,6.0,48.02,6,0
S-0264,2201965.51,87.84,7.0,62.22,5,0
S-0265,2102.4,88.5,2.0,64.46,6,0
S-0266,397.76,17.95,1.0,23.61,0,1
S-0267,2876.21,73.24,8.0,41.22,6,0
S-0268,319.55,12.45,0.0,44.44,1,1
S-0269,3118.85,99.78,6.0,68.26,4,0
S-0270,247.74,11.74,1.0,41.18,1,1
S-0271,968982.08,30.0,0.0,81.63,5,2
S-0272,2133.5,80.16,3.0,58.84,5,0
S-0273,294.94,18.19,0.0,34.94,1,1
S-0274,1212.96,47.38,1.0,86.27,5,2
S-0275,977429.2,47.96,1.0,85.51,4,2
S-0276,321.12,9.33,1.0,33.73,1,1
S-0277,386.2,15.37,0.0,44.63,0,1
S-0278,1373.08,42.89,1.0,88.36,3,2
S-0279,1932.43,80.39,5.0,60.56,5,0
S-0280,1840.78,67.77,7.0,71.92,6,0
S-0281,3118880.94,79.07,4.0,53.23,4,0
S-0282,439.15,11.16,1.0,48.09,1,1
S-0283,2354.08,51.9,4.0,75.56,6,0
S-0284,2346.14,72.83,6.0,100.0,4,0
S-0285,1442.28,41.98,2.0,83.77,4,2
S-0286,144.73,14.29,1.0,13.42,1,1
S-0287,2343254.52,75.33,6.0,70.65,3,0
S-0289,1059.0,33.12,2.0,76.74,4,2
S-0290,366.38,9.65,0.0,94.47,0,2
S-0291,287.61,13.28,1.0,33.66,1,1
S-0292,2369.46,89.65,7.0,53.68,4,0
S-0293,2180843.57,82.49,6.0,61.33,6,0
S-0294,291.47,18.98,0.0,34.6,1,1
S-0295,262.9,18.11,0.0,24.41,2,1
S-0296,1411.94,106.6,5.0,57.43,4,0
S-0298,2387.86,109.03,4.0,58.9,5,0
S-0299,1000.0,97.96,4.0,60.7,7,0
S-0300,1397.65,45.94,1.0,80.57,5,2
S-0301,477.51,15.07,0.0,65.61,1,1
S-0302,2368.42,45.0,4.0,80.43,6,2
S-0303,1052.89,40.15,0.0,91.88,4,2
S-0304,1474.01,42.25,0.0,82.67,4,2
S-0305,1742.74,43.56,1.0,89.07,5,2
S-0306,3823.25,122.58,4.0,87.16,5,0
S-0307,1725.1,99.68,4.0,64.08,7,0
S-0308,1738.62,51.28,0.0,95.46,5,2
S-0309,3068.07,100.88,5.0,54.17,6,0
S-0310,3084.21,97.6,7.0,75.08,6,0
S-0311,260.39,12.27,0.0,26.78,1,1
S-0312,268.34,22.35,1.0,32.87,1,1
S-0313,2955.9,108.93,9.0,64.39,6,0
S-0314,1598.33,51.2,1.0,87.69,3,2
S-0315,481.46,7.21,1.0,63.31,1,1
S-0316,2878.71,105.4,9.0,46.94,5,0
S-0317,344.5,9.15,0.0,26.23,1,1
S-0318,184.39,22.22,0.0,54.5,1,1
S-0319,2439.2,83.22,3.0,80.64,3,2
S-0320,2074.32,74.25,3.0,86.98,3,2
S-0321,406.67,20.45,1.0,30.97,2,1
S-0322,189442.12,14.62,1.0,29.06,0,1
S-0323,3159.33,84.25,7.0,83.42,5,0
S-0324,2863.4,84.79,5.0,59.86,4,0
S-0325,2580.83,76.5,4.0,50.12,6,0
S-0326,376776.85,16.32,1.0,56.98,2,1
S-0327,500.0,39.85,2.0,77.71,5,2
S-0328,2508.16,94.18,8.0,76.28,4,0
S-0329,2727.17,70.78,6.0,76.39,5,0
S-0331,316.93,8.37,1.0,10.0,0,1
S-0333,2691.43,67.34,5.0,98.53,5,0
S-0334,340272.57,26.41,1.0,20.72,3,1
S-0335,2636.21,45.0,7.0,58.79,5,0
S-0336,2543.02,114.69,4.0,80.15,6,0
S-0337,320.18,12.59,1.0,35.56,2,1
S-0338,2314.71,85.67,2.0,38.78,6,0
S-0339,216.0,13.88,1.0,42.01,1,1
S-0340,156.97,15.46,1.0,10.0,3,1
S-0341,1911.44,79.19,6.0,57.31,6,0
S-0342,2781.49,73.76,3.0,47.59,6,0
S-0343,217.43,18.18,0.0,36.89,2,1
S-0344,262.65,6.28,1.0,12.88,0,1
S-0345,815.77,35.61,0.0,90.54,5,2
S-0346,3081871.98,85.89,7.0,43.05,5,0
S-0347,364.63,18.41,1.0,44.91,0,1
S-0348,939.38,48.99,0.0,92.58,4,2
S-0349,2731.34,75.43,5.0,65.54,6,0
S-0350,397.85,13.12,1.0,61.72,0,1
S-0351,199.88,22.31,1.0,49.98,1,1
S-0352,245.13,22.17,0.0,63.29,0,1
S-0353,289.06,19.38,0.0,30.93,0,1
S-0354,442.77,16.44,1.0,28.35,1,1
S-0355,1485.13,40.92,1.0,100.0,3,2
S-0356,1315.21,43.76,1.0,99.45,3,2
S-0357,820.98,40.27,1.0,86.5,2,2
S-0358,3032.39,103.46,4.0,57.37,5,0
S-0359,445.37,12.16,0.0,68.88,0,1
S-0360,288.43,18.91,1.0,29.87,1,1
S-0361,218.82,15.79,0.0,25.24,1,1
S-0362,162135.28,12.66,1.0,10.47,0,1
S-0363,486.51,6.03,1.0,12.57,0,1
S-0364,3122.25,108.51,7.0,54.82,5,0
S-0365,308.63,9.5,1.0,28.42,3,1
S-0366,443.36,13.42,0.0,44.16,1,1
S-0367,435.0,18.31,2.0,29.83,1,1
S-0368,2391.84,104.38,3.0,47.29,5,0
S-0369,304.09,20.17,0.0,24.51,1,1
S-0370,2959.35,88.55,4.0,57.57,4,0
S-0371,2930.37,115.86,6.0,70.43,5,0
S-0372,230.63,6.87,0.0,10.0,1,1
S-0373,2075.91,98.94,6.0,84.28,6,0
S-0374,1476.2,54.9,4.0,86.95,2,2
S-0375,2628.08,85.22,3.0,72.54,6,0
S-0376,2523.0,106.17,5.0,76.73,6,0
S-0377,2290.35,102.36,2.0,62.93,6,0
S-0378,2484.6,117.33,6.0,75.77,4,0
S-0379,423.38,13.06,2.0,47.13,2,1
S-0380,1831.71,62.11,8.0,51.2,5,0
S-0381,1378.91,44.21,3.0,83.09,3,2
S-0382,2367.05,115.38,4.0,59.22,3,0
S-0383,1276.61,46.4,1.0,93.84,4,2
S-0384,1986.29,140.41,0.0,41.76,5,0
S-0385,1276.82,50.19,0.0,87.26,4,2
S-0386,253.14,25.22,1.0,34.94,2,1
S-0387,269.64,10.16,1.0,56.92,2,1
S-0388,482.98,20.06,1.0,11.07,2,1
S-0389,937.36,44.17,2.0,86.5,5,2
S-0390,1390.67,57.8,2.0,98.38,4,2
S-0391,249924.53,12.41,1.0,40.64,1,1
S-0392,2765.06,99.04,6.0,87.05,5,0
S-0393,2003.67,95.03,8.0,87.92,7,0
S-0394,331.71,6.36,0.0,67.2,1,1
S-0395,2835.75,127.43,3.0,50.04,3,0
S-0396,2256.57,98.03,4.0,68.96,5,0
S-0397,1363.71,42.58,2.0,80.56,4,2
S-0398,900.21,55.41,0.0,83.15,3,2
S-0399,2297.73,118.58,5.0,43.61,5,0
S-0400,2435.58,106.08,6.0,61.21,5,0
S-0401,2973.0,131.05,8.0,44.91,6,0
S-0402,2628.36,76.4,5.0,80.34,4,0
S-0403,961.83,48.43,2.0,86.5,5,2
S-0404,233996.43,5.0,1.0,34.12,1,1
S-0405,1101.06,40.34,2.0,98.71,7,2
S-0407,3575.31,92.73,10.0,90.75,5,0
S-0408,268.15,5.74,1.0,21.82,3,1
S-0409,198.12,16.18,1.0,95.89,1,2
S-0410,1291.68,48.99,0.0,89.78,7,2
S-0411,963880.84,42.02,0.0,100.0,3,2
S-0412,1181.73,49.65,2.0,94.88,5,2
S-0413,238.05,13.77,0.0,41.48,3,1
S-0414,3177141.71,124.99,0.0,63.38,4,0
S-0415,2833.87,118.46,2.0,94.84,5,0
S-0417,275.01,5.0,0.0,53.11,0,1
S-0419,502.44,17.3,0.0,28.67,0,1
S-0420,403.54,29.8,0.0,64.1,1,1
S-0421,1443.69,79.9,6.0,81.94,6,0
S-0423,2160198.94,85.7,5.0,45.42,5,0
S-0424,2409.41,82.59,3.0,45.69,5,0
S-0425,2327.65,86.59,4.0,50.3,5,0
S-0427,2289.89,92.87,5.0,71.77,5,0
S-0428,822.67,36.02,1.0,95.54,4,2
S-0429,339.62,9.39,0.0,50.65,1,1
S-0430,3546.71,60.51,4.0,58.41,5,0
S-0431,1393.34,106.1,0.0,51.34,4,0
S-0432,2413.48,82.01,3.0,47.69,6,0
S-0433,2574.55,76.51,2.0,83.48,5,2
S-0434,1282.98,53.92,0.0,95.83,6,2
S-0435,1536.62,92.95,4.0,100.0,5,0
S-0436,1042.03,43.1,2.0,95.8,4,2
S-0437,1699.93,31.52,2.0,96.41,2,2
S-0438,459.63,10.0,0.0,39.14,3,1
S-0439,3012.86,56.37,6.0,69.25,4,0
S-0440,3186.35,112.1,6.0,45.99,3,0
S-0441,367.47,10.73,1.0,13.7,1,1
S-0442,3093.62,98.15,0.0,47.58,6,0
S-0443,1884.42,96.98,7.0,83.55,7,0
S-0444,2259447.34,117.93,7.0,68.71,4,0
S-0445,2475.25,144.22,3.0,57.99,4,0
S-0446,1387555.37,57.25,2.0,85.38,3,2
S-0447,2614.49,80.93,5.0,52.54,5,0
S-0448,339.43,11.56,1.0,36.99,2,1
S-0449,1367.24,37.57,0.0,100.0,4,2
S-0450,1660.24,98.85,0.0,97.56,5,2
S-0451,3152045.96,105.72,8.0,52.24,6,0
S-0452,1237426.17,37.91,1.0,90.85,4,2
S-0453,221.54,14.1,0.0,49.61,0,1
S-0454,1643.36,30.0,0.0,91.43,4,2
S-0455,2332.77,45.0,2.0,21.87,5,1
S-0456,1427.27,128.56,5.0,68.8,6,0
S-0457,626.46,49.71,2.0,100.0,4,2
S-0458,1382.29,52.3,2.0,95.81,4,2
S-0459,2950.52,77.27,5.0,56.24,3,0
S-0460,2574734.01,107.73,7.0,48.1,5,0
S-0461,2327.57,92.33,4.0,60.07,5,0
S-0462,400.52,10.08,1.0,43.34,0,1
S-0463,1431.1,62.37,1.0,93.11,4,2
S-0464,2290.05,97.01,3.0,44.76,4,0
S-0465,2984.96,95.26,0.0,74.5,4,2
S-0466,801.0,43.3,1.0,73.5,4,2
S-0467,1481.65,30.0,0.0,77.46,4,2
S-0468,2244.59,71.46,7.0,71.88,7,0
S-0470,2935.54,77.78,2.0,88.17,6,2
S-0471,321.29,11.23,1.0,46.29,1,1
S-0472,2747.36,103.91,3.0,66.52,4,0
S-0473,864.58,51.08,0.0,84.41,3,2
S-0474,1334.71,58.78,1.0,93.87,3,2
S-0475,2003.52,96.13,6.0,70.23,6,0
S-0476,219996.78,23.92,1.0,50.89,0,1
S-0477,3318.97,103.84,3.0,47.53,5,0
S-0478,2954.51,122.28,2.0,48.72,5,0
S-0479,1526.83,44.15,1.0,97.15,4,2
S-0480,3330.6,103.29,2.0,100.0,6,2
S-0481,1426.1,94.57,4.0,57.04,4,0
S-0482,85.23,11.55,0.0,31.83,1,1
S-0483,2568.81,76.39,5.0,64.2,5,0
S-0484,3090.08,77.66,5.0,65.71,4,0
S-0485,1475.73,53.32,1.0,80.6,3,2
S-0486,1476.24,41.68,3.0,85.1,6,2
S-0487,2200.67,106.94,6.0,44.96,6,0
S-0488,2017.31,60.34,0.0,27.97,5,1
S-0489,221.73,7.87,1.0,52.25,2,1
S-0490,1384.44,30.0,2.0,85.02,3,2
S-0491,1178.58,48.55,1.0,96.33,5,2
S-0492,2397671.68,75.7,5.0,67.75,7,0
S-0493,1538.25,61.66,1.0,94.78,5,2
S-0494,963.37,34.35,0.0,88.1,4,2
S-0495,312.26,16.6,0.0,36.04,2,1
S-0496,2526.74,90.24,6.0,48.0,5,0
S-0497,1399097.45,134.92,8.0,50.35,4,0
S-0498,1076.19,48.72,1.0,91.03,4,2
S-0499,302.36,11.11,1.0,56.67,1,1
S-0500,1880.75,40.87,0.0,87.45,3,2
S-0501,392.5,19.06,0.0,37.06,2,1
S-0502,2593390.9,85.31,7.0,72.72,4,0
S-0503,2092.27,89.32,0.0,52.48,7,0
S-0504,1520.79,42.67,0.0,87.82,3,2
S-0505,934.24,42.6,1.0,92.28,5,2
S-0506,2504421.39,129.25,4.0,73.63,6,0
S-0507,124197.91,9.8,0.0,12.99,0,1
S-0508,360.84,11.77,1.0,39.27,1,1
S-0509,2010.65,115.97,4.0,62.43,4,0
S-0510,1312.06,51.82,2.0,100.0,4,2
S-0511,3075.2,117.81,6.0,65.72,5,0
S-0512,1263.94,46.36,1.0,81.89,4,2
S-0513,1073.7,43.82,2.0,88.07,4,2
S-0514,1325.14,47.8,1.0,88.74,5,2
S-0515,2736.13,95.1,0.0,82.06,6,2
S-0516,1793.44,117.34,9.0,75.01,3,0
S-0517,167.3,8.1,0.0,44.41,0,1
S-0518,1071.63,48.99,1.0,93.35,4,2
S-0519,1872.25,91.07,5.0,60.73,5,0
S-0520,357.67,22.08,0.0,59.07,0,1
S-0521,331740.64,14.67,1.0,32.76,0,1
S-0522,2438.53,97.33,4.0,48.46,5,0
S-0523,976.45,47.12,1.0,94.45,5,2
S-0524,343.83,15.12,1.0,56.34,0,1
S-0525,310.45,15.21,1.0,74.17,2,2
S-0526,285.06,25.25,1.0,44.9,1,1
S-0527,1491.45,52.0,1.0,93.42,5,2
S-0528,2451.37,81.65,3.0,47.74,4,0
S-0529,2277.35,141.18,11.0,68.98,6,0
S-0531,1791606.39,74.83,3.0,50.47,5,0
S-0532,1250.71,52.03,0.0,92.84,4,2
S-0533,1162111.77,59.43,2.0,84.12,3,2
S-0534,1604.77,30.0,1.0,78.4,4,2
S-0535,2450.44,70.68,4.0,77.87,5,0
S-0536,1120.29,56.97,1.0,84.92,5,2
S-0537,2633.56,100.52,6.0,83.01,6,0
S-0538,2405.03,119.9,3.0,90.38,4,0
S-0539,2664.97,120.49,5.0,69.6,5,0
S-0540,2652.59,73.13,8.0,67.14,5,0
S-0541,1220.76,33.97,3.0,82.75,4,2
S-0542,1493.28,53.64,0.0,83.97,4,2
S-0543,306.77,13.86,1.0,10.0,0,1
S-0544,2468.13,113.57,6.0,78.75,4,0
S-0545,1157.9,41.57,2.0,97.56,2,2
S-0546,1294.98,56.76,0.0,97.29,5,2
S-0547,378.32,14.31,0.0,29.96,1,1
S-0548,947.77,43.61,1.0,91.13,2,2
S-0549,341.43,9.76,0.0,53.13,1,1
S-0550,519.95,30.0,1.0,98.92,4,2
S-0551,309912.72,22.39,0.0,26.69,1,1
S-0552,2221.26,78.96,0.0,75.14,6,2
S-0553,2438.46,98.82,4.0,67.22,5,0
S-0554,2748.8,108.56,4.0,55.65,6,0
S-0555,566.46,17.82,0.0,26.39,1,1
S-0556,923.51,46.0,3.0,70.0,3,2
S-0557,2976.87,96.36,0.0,70.81,5,2
S-0558,2823.2,73.19,0.0,79.99,5,2
S-0559,1835.49,89.38,6.0,58.66,3,0
